id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;dmgender;dmbirth;dmswiss;dmnatio;dmres;dmwork;sssknow;sssmember;sssmember[other];ssstime;trlvl;trlvl[other];tryear;trcontswiss;trreg;trarea[1];trarea[2];trarea[3];trarea[4];trarea[5];trarea[6];trarea[7];trarea[8];trarea[9];trarea[10];trarea[11];trarea[12];trarea[13];trarea[14];trarea[15];trarea[16];trarea[17];trarea[18];trarea[19];trarea[other];trcont[1];trcont[2];trcont[3];trcont[4];trcont[5];trcont[6];trcont[7];trcont[other];trcont2;trcont2[other];plemployed;plstatus;plstatus[other];plrole;plsector;plyexp;plrate;plsenior;plsenior[other];plskill[1];plskill[2];plskill[3];plskill[4];plskill[5];plskill[6];plskill[other];ustime[1][1];ustime[1][2];ustime[2][1];ustime[2][2];ustime[3][1];ustime[3][2];ustime[4][1];ustime[4][2];ustime[5][1];ustime[5][2];ustime[6][1];ustime[6][2];issalary;issatisf;issatisf2[1];issatisf2[2];issatisf2[3];issatisf2[4];issatisf2[5];issatisf2[6];issatisf2[7];issatisf2[8];issatisf2[9];issatisf2[10];issatisf2[11];issatisf2[12];interviewtime;groupTime652;dmgenderTime;dmbirthTime;dmswissTime;dmnatioTime;dmresTime;dmworkTime;groupTime653;sssknowTime;sssmemberTime;ssstimeTime;groupTime654;trlvlTime;tryearTime;trcontswissTime;trregTime;trareaTime;trcontTime;trcont2Time;groupTime657;plemployedTime;plstatusTime;plroleTime;plsectorTime;plyexpTime;plrateTime;plseniorTime;plskillTime;groupTime663;ustimeTime;groupTime658;issalaryTime;issatisfTime;issatisf2Time
11;2025-05-19;3;en;335338;2025-05-19;2025-05-19;1;1965;2;1;9;14;1;3;;2;3;;2017;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Statistician;18;6;100;3;;0;1;0;0;1;0;;1;2;2;2;4;1;2;0;1;2;0;1;167'128;2;5;1;4;;4;4;2;1;2;3;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;19;en;643548;2025-09-02;2025-09-02;1;1972;2;2;10;17;1;1;;1;1;;2000;2;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;0;0;0;1;0;0;0;;;;1;;;Data Analyst;9;25;80;2;;0;0;0;0;0;0;;3;3;2;3;3;3;1;1;4;3;4;3;172'061;2;2;2;4;3;2;2;3;4;5;3;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2025-03-12;18;en;146166;2025-03-12;2025-03-12;1;1988;1;;23;22;1;3;;2;2;;2007;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Professor;21;20;100;2;;1;1;0;0;0;1;;0;1;4;3;0;0;2;3;1;1;4;3;133'096;3;4;4;3;2;3;4;4;4;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2025-07-03;8;en;344343;2025-07-03;2025-07-03;2;1999;1;;24;27;1;2;;2;4;;2022;1;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;;;;1;;;Project Manager;5;4;100;4;;0;0;0;0;1;0;;2;1;0;2;0;2;0;0;3;1;2;0;113'656;2;3;2;2;;;2;2;4;5;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2025-12-05;14;en;840032;2025-12-05;2025-12-05;1;2004;1;;19;22;1;2;;1;5;;2024;1;;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Quantitative Analyst;8;5;100;3;;0;0;1;0;0;0;;4;0;3;3;3;2;0;1;1;2;1;3;164'138;2;2;1;3;3;2;;4;2;3;;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2025-08-26;13;en;689856;2025-08-26;2025-08-26;1;1979;1;;2;12;0;1;;2;5;;1998;1;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;;;;1;;;Epidemiologist;16;31;50;5;;0;0;0;0;0;1;;3;2;2;2;0;3;2;1;1;0;4;1;146'406;2;1;2;2;4;3;;3;2;5;3;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2025-05-03;10;en;491940;2025-05-03;2025-05-03;1;1997;1;;22;1;1;1;;2;5;;2016;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1;0;0;0;0;0;0;;;;1;;;PhD student;26;8;90;3;;0;0;1;0;0;1;;1;0;3;3;1;2;1;3;2;0;2;1;74'500;5;4;5;3;3;;1;;3;1;5;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2025-07-28;9;en;722363;2025-07-28;2025-07-28;1;1963;1;;13;1;1;1;;2;4;;2007;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;;;;1;;;ML Engineer;15;14;90;1;;0;1;0;0;1;0;;0;0;1;0;0;3;3;1;1;3;2;1;105'721;4;3;1;1;2;;1;;1;2;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2025-01-20;10;en;944115;2025-01-20;2025-01-20;2;2004;1;;24;3;0;3;;2;4;;2024;1;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Research Scientist;30;5;70;2;;0;0;1;0;0;0;;3;1;1;3;0;3;4;1;4;0;0;0;144'924;3;2;2;2;5;2;3;2;3;2;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2026-01-22;7;en;491643;2026-01-22;2026-01-22;1;1996;1;;19;5;0;1;;2;3;;2022;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;3;;Student;;0;;6;;0;0;1;0;0;1;;4;1;2;0;3;2;0;1;2;2;3;1;;;2;2;3;3;3;4;1;1;2;4;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;11;en;242574;2026-02-03;2026-02-03;1;1976;1;;12;28;1;1;;1;3;;1995;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;;;;1;;;Data Scientist;6;33;40;4;;0;0;0;1;0;0;;2;1;3;0;2;2;4;0;0;0;3;2;150'681;1;3;2;3;3;2;3;2;3;4;1;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2026-01-11;12;en;101971;2026-01-11;2026-01-11;4;1990;1;;14;10;1;1;;3;6;;2021;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Postdoc;16;0;100;2;;1;0;0;0;1;0;;3;1;2;3;2;3;4;3;3;3;4;0;89'427;3;1;4;2;2;1;2;2;3;4;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;2025-12-25;9;en;445153;2025-12-25;2025-12-25;1;1996;1;;12;4;1;1;;4;4;;2021;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1;0;0;0;0;0;0;;;;0;3;;Student;;0;;6;;0;0;0;0;1;0;;4;3;3;2;2;1;0;2;1;0;2;1;;;2;3;2;3;1;4;3;;3;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;2025-08-07;1;en;854394;2025-08-07;2025-08-07;1;1987;1;;22;26;1;3;;3;3;;2015;1;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;;;;1;;;Senior Statistician;28;4;90;4;;0;1;0;0;0;0;;4;0;3;0;3;2;2;3;4;0;3;3;111'109;2;2;2;1;2;4;4;;2;2;5;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;2025-11-20;18;en;546542;2025-11-20;2025-11-20;2;1996;1;;26;25;1;2;;3;1;;2023;1;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Quantitative Analyst;25;7;100;4;;0;1;0;1;0;0;;0;2;0;1;4;3;1;3;4;0;4;3;67'944;1;;3;;3;2;5;1;2;4;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;2025-08-30;20;en;712131;2025-08-30;2025-08-30;1;1957;1;;18;13;0;2;;3;4;;1998;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0;0;0;1;0;0;0;;;;0;4;;Unemployed;;0;;6;;0;0;1;0;0;1;;4;1;3;0;3;2;1;1;4;0;1;1;;;3;2;3;4;4;1;3;4;3;4;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;2025-03-20;5;en;754449;2025-03-20;2025-03-20;1;1958;2;6;27;25;0;4;;2;4;;1977;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Epidemiologist;8;50;90;3;;0;1;0;0;0;0;;1;1;3;3;3;2;2;1;2;1;2;1;79'563;1;4;2;2;3;3;;1;3;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;2025-12-30;15;en;346889;2025-12-30;2025-12-30;1;1978;2;1;1;24;0;2;;1;6;;2004;1;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;ML Engineer;18;20;90;2;;0;0;0;0;0;0;;4;2;0;3;0;1;2;2;3;1;4;3;131'087;2;3;2;;2;1;;3;4;2;1;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;2025-12-06;20;en;165952;2025-12-06;2025-12-06;1;2001;2;4;5;10;1;1;;2;4;;2024;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0;0;0;0;0;1;0;;;;1;;;Epidemiologist;26;0;90;3;;0;1;0;0;0;1;;0;3;1;3;1;1;0;0;3;0;1;3;106'939;3;5;2;2;4;4;3;;;3;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;2026-02-05;1;en;602547;2026-02-05;2026-02-05;1;1992;1;;1;28;1;2;;2;4;;2011;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Statistician;1;8;100;4;;1;1;0;0;0;0;;2;3;4;2;3;2;0;1;2;0;4;0;124'043;3;2;4;5;2;2;2;3;5;;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2025-07-16;12;en;606313;2025-07-16;2025-07-16;2;1972;2;6;7;28;1;5;;2;5;;2022;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;0;0;0;0;0;1;0;;;;1;;;Statistician;12;3;30;1;;0;1;0;0;0;0;;1;2;0;2;2;2;2;3;3;0;3;1;70'063;3;2;5;4;1;2;3;2;2;2;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;2025-03-14;17;en;922308;2025-03-14;2025-03-14;1;2004;1;;27;24;1;3;;2;5;;2022;1;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;4;;Unemployed;;0;;6;;0;0;0;0;0;0;;0;0;0;3;3;2;2;0;2;3;4;1;;;2;2;3;3;3;5;2;4;4;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;2025-10-11;9;en;317190;2025-10-11;2025-10-11;2;1991;1;;19;16;1;1;;3;1;;2013;1;;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Research Scientist;3;12;100;2;;1;0;0;0;0;0;;1;1;0;0;1;0;4;1;4;1;4;1;81'638;3;2;4;4;2;;3;2;2;4;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2025-05-08;9;en;869541;2025-05-08;2025-05-08;2;1973;2;2;22;27;0;1;;4;5;;2012;1;;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;;;;1;;;Postdoc;9;10;100;3;;0;0;0;1;0;0;;3;1;0;1;0;1;3;2;3;1;3;2;99'678;1;3;2;3;3;3;2;2;1;4;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2026-01-14;2;en;990378;2026-01-14;2026-01-14;1;1985;1;;1;13;0;2;;2;4;;2024;1;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;ML Engineer;28;0;100;1;;1;0;0;0;1;0;;3;0;3;1;2;2;4;2;4;3;3;0;63'925;1;5;4;3;4;3;1;2;2;4;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2025-10-12;16;en;227287;2025-10-12;2025-10-12;2;2000;1;;8;5;1;1;;3;2;;2020;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;;;;1;;;ML Engineer;31;9;100;4;;0;0;0;0;1;0;;2;1;0;3;0;3;3;0;3;3;2;0;109'113;4;3;4;2;;;4;5;2;2;3;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2025-03-01;6;en;500973;2025-03-01;2025-03-01;1;1990;1;;5;26;0;1;;1;4;;2015;1;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Consultant;23;13;60;2;;1;0;0;1;1;0;;2;2;0;1;3;3;4;2;3;3;1;0;103'658;2;2;3;4;5;2;4;2;2;1;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2025-04-30;3;en;354876;2025-04-30;2025-04-30;1;1968;2;1;7;28;1;1;;3;5;;1999;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Consultant;27;15;100;2;;0;0;0;0;1;0;;0;0;4;0;3;2;1;0;2;0;0;3;152'714;3;3;3;3;4;3;3;3;;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;2025-10-04;1;en;105893;2025-10-04;2025-10-04;2;1965;1;;6;14;1;3;;3;2;;2022;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Epidemiologist;16;7;70;1;;0;0;0;0;1;0;;2;0;0;0;3;0;0;3;3;3;3;3;107'192;3;4;2;;3;3;2;4;1;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;2025-12-24;14;en;888420;2025-12-24;2025-12-24;1;1961;1;;27;21;1;2;;4;4;;2005;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;;;;1;;;Consultant;14;19;70;4;;0;0;0;0;0;0;;3;1;1;0;0;0;1;1;1;0;0;2;88'362;4;3;4;1;4;4;2;1;4;4;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2026-01-07;1;en;341616;2026-01-07;2026-01-07;2;1972;1;;18;1;1;2;;1;5;;2022;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1;0;0;0;0;0;0;;;;1;;;Biostatistician;27;5;100;3;;0;0;0;0;0;0;;1;3;4;0;3;3;2;3;1;1;3;0;103'094;1;3;3;1;3;3;2;2;2;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2025-01-06;5;en;712775;2025-01-06;2025-01-06;1;1972;1;;2;25;0;4;;2;4;;1990;1;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Consultant;27;43;90;4;;0;1;0;1;0;0;;0;2;2;1;3;0;3;1;0;0;1;0;110'648;1;3;3;1;4;4;3;1;3;4;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2025-04-25;20;en;235050;2025-04-25;2025-04-25;1;1999;2;1;22;20;1;4;;3;5;;2024;1;;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;;;;1;;;Epidemiologist;12;0;80;3;;1;1;0;0;0;1;;4;0;1;1;3;0;0;3;2;2;4;3;67'841;2;4;;2;2;2;3;4;2;3;4;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2025-08-19;15;en;118969;2025-08-19;2025-08-19;2;1962;1;;5;4;1;1;;3;1;;1986;1;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;;1;0;0;0;0;0;0;;;;1;;;Software Engineer;31;41;90;2;;0;0;0;0;1;1;;1;2;4;1;2;1;4;2;2;1;4;1;93'815;1;1;3;3;3;5;1;2;3;2;4;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2026-01-28;13;en;480767;2026-01-28;2026-01-28;2;1987;2;1;10;19;0;2;;2;6;;2024;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;3;;Student;;0;;6;;0;0;0;1;0;0;;2;1;1;2;1;1;0;0;0;3;1;2;;;4;2;3;2;2;1;1;2;2;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2025-06-14;4;en;424296;2025-06-14;2025-06-14;1;2004;1;;22;14;1;1;;3;2;;2023;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;0;0;0;0;0;0;1;;;;1;;;Quantitative Analyst;24;3;100;4;;0;0;0;0;0;0;;0;2;0;0;4;1;0;2;0;1;1;1;119'013;5;2;2;3;2;2;2;2;3;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2025-12-14;9;en;483134;2025-12-14;2025-12-14;2;1986;1;;10;1;0;1;;1;3;;2019;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;5;;Retired;;0;;6;;0;0;0;0;0;0;;2;0;3;1;1;0;3;0;2;3;2;1;;;4;1;2;3;2;3;1;1;4;3;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2025-08-31;16;en;855883;2025-08-31;2025-08-31;2;1974;2;3;20;17;1;4;;1;3;;2001;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;;;;1;;;Project Manager;22;22;100;4;;1;0;0;0;0;0;;4;2;2;2;0;3;2;0;1;0;4;2;97'068;3;1;3;2;2;3;2;2;3;1;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2026-01-28;13;en;546776;2026-01-28;2026-01-28;1;1955;1;;25;1;1;2;;3;2;;1983;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;1;;;;1;;;Software Engineer;4;41;100;1;;1;0;1;0;0;0;;3;3;2;1;1;3;4;0;4;0;2;0;113'543;2;3;2;1;3;5;2;2;4;1;4;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2025-09-21;10;en;709049;2025-09-21;2025-09-21;1;1997;1;;4;16;1;1;;3;2;;2021;1;;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Professor;7;6;90;3;;0;0;0;1;0;0;;0;2;2;1;1;1;2;1;2;3;4;1;158'467;2;;4;3;4;1;3;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;;6;en;719905;2026-01-29;2026-01-29;1;2002;2;1;26;7;0;1;;3;5;;2021;1;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Postdoc;14;2;90;2;;1;0;0;0;0;0;;2;2;4;3;2;1;4;2;1;2;1;3;92'189;5;5;2;3;3;4;2;2;3;;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;2025-09-02;3;en;477095;2025-09-02;2025-09-02;1;1993;1;;17;24;1;1;;2;2;;2011;1;;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;PhD student;23;9;80;2;;0;0;0;0;0;0;;1;1;0;1;0;3;1;3;2;1;0;0;122'145;2;4;3;3;4;2;1;5;2;5;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
